Dataset,Space,Method,ARI,NMI,Homogeneity,Completeness,Silhouette
Wine,Original,AHC,0.7899332213582837,0.7864652657004837,0.790429271831654,0.7825408201875712,0.2774439826952266
Wine,Original,K-Means,0.8974949815093207,0.8758935341223069,0.8788432003662366,0.8729636016078731,0.2848589191898987
Wine,PCA,AHC,0.8960646870999063,0.8582946574296247,0.8589791224536008,0.8576112823491473,0.5590883962040384
Wine,PCA,K-Means,0.8950582389649661,0.8820653444077604,0.8839811557048378,0.8801578192501838,0.5610505693103246
Wine,SVD,AHC,0.8960646870999063,0.8582946574296247,0.8589791224536008,0.8576112823491473,0.5590883960076668
Wine,SVD,K-Means,0.8950582389649661,0.8820653444077604,0.8839811557048378,0.8801578192501838,0.5610505692591288
Wine,t-SNE,AHC,0.8473783382218353,0.8154319116834388,0.8168469602300228,0.8140217573207903,0.5770567059516907
Wine,t-SNE,K-Means,0.8348940044607465,0.8215490461307171,0.8254943397758124,0.817641284673183,0.6042619943618774
Breast Cancer,Original,AHC,0.5750409366326297,0.45691492004987283,0.44621386691302517,0.46814184767130673,0.33938477753669855
Breast Cancer,Original,K-Means,0.6707206476880808,0.554612218410556,0.5442739102091959,0.5653508768266774,0.3449740051034408
Breast Cancer,PCA,AHC,0.6594271719206948,0.538030587815895,0.5309002234953983,0.5453550912012973,0.5046397728338724
Breast Cancer,PCA,K-Means,0.6592305570949524,0.5403814627831327,0.5313015625322899,0.5497771086053297,0.5084690190672024
Breast Cancer,SVD,AHC,0.6594271719206948,0.538030587815895,0.5309002234953983,0.5453550912012973,0.5046397728063581
Breast Cancer,SVD,K-Means,0.6592305570949524,0.5403814627831327,0.5313015625322899,0.5497771086053297,0.5084690190067356
Breast Cancer,t-SNE,AHC,0.7296553618878584,0.6472089102132071,0.627429195645306,0.6682763313309237,0.4984048902988434
Breast Cancer,t-SNE,K-Means,0.780019075563066,0.6683131801767764,0.6649041202034008,0.6717573777969789,0.5028469562530518
